Date,Ticker,Open,High,Low,Close,Change
9/30/1977,CMSIGBW,260.15,260.15,260.15,260.15,0.033596002
10/31/1977,CMSIGBW,268.89,268.89,268.89,268.89,-0.015024731
11/30/1977,CMSIGBW,264.85,264.85,264.85,264.85,-0.038248065
12/31/1977,CMSIGBW,254.72,254.72,254.72,254.72,0.003101445
1/31/1978,CMSIGBW,255.51,255.51,255.51,255.51,0.000939298
2/28/1978,CMSIGBW,255.75,255.75,255.75,255.75,0.1314565
3/31/1978,CMSIGBW,289.37,289.37,289.37,289.37,-0.037218786
4/30/1978,CMSIGBW,278.6,278.6,278.6,278.6,0.014357502
5/31/1978,CMSIGBW,282.6,282.6,282.6,282.6,0.026893135
6/30/1978,CMSIGBW,290.2,290.2,290.2,290.2,-0.026671261
7/31/1978,CMSIGBW,282.46,282.46,282.46,282.46,0.01037315
8/31/1978,CMSIGBW,285.39,285.39,285.39,285.39,0.000665756
9/30/1978,CMSIGBW,285.58,285.58,285.58,285.58,-0.009874641
10/31/1978,CMSIGBW,282.76,282.76,282.76,282.76,0.058989956
11/30/1978,CMSIGBW,299.44,299.44,299.44,299.44,-0.001936949
12/31/1978,CMSIGBW,298.86,298.86,298.86,298.86,0.022518905
1/31/1979,CMSIGBW,305.59,305.59,305.59,305.59,0.262704931
2/28/1979,CMSIGBW,385.87,385.87,385.87,385.87,-0.056858527
3/31/1979,CMSIGBW,363.93,363.93,363.93,363.93,-0.061962465
4/30/1979,CMSIGBW,341.38,341.38,341.38,341.38,0.194416779
5/31/1979,CMSIGBW,407.75,407.75,407.75,407.75,-0.006670754
6/30/1979,CMSIGBW,405.03,405.03,405.03,405.03,0.00419722
7/31/1979,CMSIGBW,406.73,406.73,406.73,406.73,0.023086568
8/31/1979,CMSIGBW,416.12,416.12,416.12,416.12,0.433360569
9/30/1979,CMSIGBW,596.45,596.45,596.45,596.45,0.3031436
10/31/1979,CMSIGBW,777.26,777.26,777.26,777.26,0.003911175
11/30/1979,CMSIGBW,780.3,780.3,780.3,780.3,0.193220556
12/31/1979,CMSIGBW,931.07,931.07,931.07,931.07,0.861890083
1/31/1980,CMSIGBW,1733.55,1733.55,1733.55,1733.55,-0.10400623
2/29/1980,CMSIGBW,1553.25,1553.25,1553.25,1553.25,-0.280424915
3/31/1980,CMSIGBW,1117.68,1117.68,1117.68,1117.68,-0.394218381
4/30/1980,CMSIGBW,677.07,677.07,677.07,677.07,-0.187809237
5/31/1980,CMSIGBW,549.91,549.91,549.91,549.91,0.228637413
6/30/1980,CMSIGBW,675.64,675.64,675.64,675.64,0.018116157
7/31/1980,CMSIGBW,687.88,687.88,687.88,687.88,-0.023666919
8/31/1980,CMSIGBW,671.6,671.6,671.6,671.6,0.235199524
9/30/1980,CMSIGBW,829.56,829.56,829.56,829.56,0.008570809
10/31/1980,CMSIGBW,836.67,836.67,836.67,836.67,-0.071808479
11/30/1980,CMSIGBW,776.59,776.59,776.59,776.59,-0.097644832
12/31/1980,CMSIGBW,700.76,700.76,700.76,700.76,-0.126291455
1/31/1981,CMSIGBW,612.26,612.26,612.26,612.26,-0.069104629
2/28/1981,CMSIGBW,569.95,569.95,569.95,569.95,-0.030721993
3/31/1981,CMSIGBW,552.44,552.44,552.44,552.44,-0.043697053
4/30/1981,CMSIGBW,528.3,528.3,528.3,528.3,-0.066042022
5/31/1981,CMSIGBW,493.41,493.41,493.41,493.41,0.025718976
6/30/1981,CMSIGBW,506.1,506.1,506.1,506.1,-0.094704604
7/31/1981,CMSIGBW,458.17,458.17,458.17,458.17,0.067005697
8/31/1981,CMSIGBW,488.87,488.87,488.87,488.87,0.13218238
9/30/1981,CMSIGBW,553.49,553.49,553.49,553.49,-0.092196788
10/31/1981,CMSIGBW,502.46,502.46,502.46,502.46,-0.106714962
11/30/1981,CMSIGBW,448.84,448.84,448.84,448.84,0.143458694
12/31/1981,CMSIGBW,513.23,513.23,513.23,513.23,-0.173937611
1/31/1982,CMSIGBW,423.96,423.96,423.96,423.96,0.059227286
2/28/1982,CMSIGBW,449.07,449.07,449.07,449.07,-0.107399737
3/31/1982,CMSIGBW,400.84,400.84,400.84,400.84,0.028764594
4/30/1982,CMSIGBW,412.37,412.37,412.37,412.37,-0.106336542
5/31/1982,CMSIGBW,368.52,368.52,368.52,368.52,-0.140236622
6/30/1982,CMSIGBW,316.84,316.84,316.84,316.84,0.17106426
7/31/1982,CMSIGBW,371.04,371.04,371.04,371.04,0.100285683
8/31/1982,CMSIGBW,408.25,408.25,408.25,408.25,0.248181261
9/30/1982,CMSIGBW,509.57,509.57,509.57,509.57,0.08785839
10/31/1982,CMSIGBW,554.34,554.34,554.34,554.34,0.081376051
11/30/1982,CMSIGBW,599.45,599.45,599.45,599.45,0.091834181
12/31/1982,CMSIGBW,654.5,654.5,654.5,654.5,0.207578304
1/31/1983,CMSIGBW,790.36,790.36,790.36,790.36,0.15400577
2/28/1983,CMSIGBW,912.08,912.08,912.08,912.08,-0.217152004
3/31/1983,CMSIGBW,714.02,714.02,714.02,714.02,0.064998179
4/30/1983,CMSIGBW,760.43,760.43,760.43,760.43,0.082847862
5/31/1983,CMSIGBW,823.43,823.43,823.43,823.43,-0.077541503
6/30/1983,CMSIGBW,759.58,759.58,759.58,759.58,0.037441744
7/31/1983,CMSIGBW,788.02,788.02,788.02,788.02,0.018159438
8/31/1983,CMSIGBW,802.33,802.33,802.33,802.33,-0.004923161
9/30/1983,CMSIGBW,798.38,798.38,798.38,798.38,-0.17315063
10/31/1983,CMSIGBW,660.14,660.14,660.14,660.14,-0.096267458
11/30/1983,CMSIGBW,596.59,596.59,596.59,596.59,0.0720763
12/31/1983,CMSIGBW,639.59,639.59,639.59,639.59,-0.089588643
1/31/1984,CMSIGBW,582.29,582.29,582.29,582.29,0.087722612
2/29/1984,CMSIGBW,633.37,633.37,633.37,633.37,0.045802611
3/31/1984,CMSIGBW,662.38,662.38,662.38,662.38,-0.019324255
4/30/1984,CMSIGBW,649.58,649.58,649.58,649.58,-0.00775886
5/31/1984,CMSIGBW,644.54,644.54,644.54,644.54,-0.01306358
6/30/1984,CMSIGBW,636.12,636.12,636.12,636.12,-0.113201912
7/31/1984,CMSIGBW,564.11,564.11,564.11,564.11,0.02568648
8/31/1984,CMSIGBW,578.6,578.6,578.6,578.6,-0.003854131
9/30/1984,CMSIGBW,576.37,576.37,576.37,576.37,0.036226729
10/31/1984,CMSIGBW,597.25,597.25,597.25,597.25,0.010046044
11/30/1984,CMSIGBW,603.25,603.25,603.25,603.25,-0.06997099
12/31/1984,CMSIGBW,561.04,561.04,561.04,561.04,-0.03912377
